"","Period","Type1_ATT","Type2_ATT","Type3_ATT"
"1","Aug-10",1138652,54371,559358
"2","Sep-10",1150728,55181,550359
"3","Oct-10",1163143,54961,583244
"4","Nov-10",1111295,53727,486005
"5","Dec-10",1159204,45536,533001
"6","Jan-11",1133881,51585,542331
"7","Feb-11",1053707,51249,494408
"8","Mar-11",1225222,57900,580319
"9","Apr-11",1197213,54042,593120
"10","May-11",1221687,57067,594941
"11","Jun-11",1168468,54739,562210
"12","Jul-11",1211066,56204,597690
"13","Aug-11",1135801,51890,570417
"14","Sep-11",1162143,52329,566738
"15","Oct-11",1200708,54447,593757
"16","Nov-11",1134959,51772,554709
"17","Dec-11",1141606,47961,542479
"18","Jan-12",1137916,51607,547995
"19","Feb-12",1120423,51156,532653
"20","Mar-12",1263082,58574,611496
"21","Apr-12",1149634,51689,568200
"22","May-12",1251414,56417,621739
"23","Jun-12",1222084,53957,611800
"24","Jul-12",1248953,55392,620178
"25","Aug-12",1197384,52905,594854
"26","Sep-12",1178361,51526,558604
"27","Oct-12",1214433,53423,564448
"28","Nov-12",1167908,51805,535892
"29","Dec-12",1202080,47553,572792
"30","Jan-13",1149837,49518,533763
"31","Feb-13",1085333,48970,514445
"32","Mar-13",1226196,54219,584669
"33","Apr-13",1199089,54306,578025
"34","May-13",1229747,54729,607194
"35","Jun-13",1191352,54589,585094
"36","Jul-13",1281700,55536,639053
"37","Aug-13",1189671,53239,597681
"38","Sep-13",1156569,52312,559868
"39","Oct-13",1199259,52705,577465
"40","Nov-13",1139112,50631,543294
"41","Dec-13",1172011,47809,562209
"42","Jan-14",1142284,51060,546196
"43","Feb-14",1084744,47705,529366
"44","Mar-14",1269436,55798,632107
"45","Apr-14",1213066,52034,612576
"46","May-14",1287333,54446,636250
"47","Jun-14",1265211,54997,622060
"48","Jul-14",1302588,55793,635250
"49","Aug-14",1188147,53051,576112
"50","Sep-14",1221782,52195,579309
"51","Oct-14",1250114,54428,587832
"52","Nov-14",1205519,52329,572612
"53","Dec-14",1241895,47660,611673
"54","Jan-15",1124040,50900,557126
"55","Feb-15",1072452,48157,534238
"56","Mar-15",1251325,56383,635259
"57","Apr-15",1206631,52366,614171
"58","May-15",1254445,54809,628214
"59","Jun-15",1249213,53398,608598
"60","Jul-15",1271523,53417,627955
"61","Aug-15",1215826,49458,599855
"62","Sep-15",1221594,50868,587517
"63","Oct-15",1261395,50275,611438
"64","Nov-15",1236294,48306,589635
"65","Dec-15",1232965,46148,588539
"66","Jan-16",1250005,47208,609707
"67","Feb-16",1218372,48387,604017
"68","Mar-16",1350373,49906,687274
"69","Apr-16",1214057,50359,603365
"70","May-16",1353206,52180,664954
"71","Jun-16",1282499,52180,624123
"72","Jul-16",1353477,52961,672596
"73","Aug-16",1254439,52404,626058
"74","Sep-16",1277578,52521,622365
"75","Oct-16",1317571,51020,633225
"76","Nov-16",1258205,49979,599687
"77","Dec-16",1277133,45569,621865
"78","Jan-17",1237177,48039,610056
"79","Feb-17",1127909,45733,561977
"80","Mar-17",1309507,53355,652972
"81","Apr-17",1253743,47550,648469
"82","May-17",1347297,51037,668455
"83","Jun-17",1296877,50612,646567
"84","Jul-17",1348648,50369,674927
"85","Aug-17",1256655,47912,620096
"86","Sep-17",1263957,47250,614754
"87","Oct-17",1325211,50198,668728
"88","Nov-17",1281913,48223,646835
"89","Dec-17",1289587,42158,672209
"90","Jan-18",1257026,49987,693073
"91","Feb-18",1151757,41902,626353
"92","Mar-18",1299796,46655,703334
"93","Apr-18",1246348,47256,690765
"94","May-18",1354711,49219,760528
"95","Jun-18",1306739,49635,737568
"96","Jul-18",1365859,49846,764191
"97","Aug-18",1252767,49117,695970
"98","Sep-18",1269088,47622,688985
"99","Oct-18",1320032,51282,708178
"100","Nov-18",1305353,48465,684029
"101","Dec-18",1307359,43072,697087
"102","Jan-19",1344354,47616,721443
"103","Feb-19",1234328,44183,676436
"104","Mar-19",1373061,50490,744000
"105","Apr-19",1330825,49281,732059
"106","May-19",1369332,50642,752032
"107","Jun-19",1334137,49233,724617
"108","Jul-19",1415918,52418,796714
"109","Aug-19",1324070,48786,752579
"110","Sep-19",1342510,48217,732618
"111","Oct-19",1376347,50391,744147
"112","Nov-19",1366383,47179,729943
"113","Dec-19",1373654,43458,763425
"114","Jan-20",1327234,49597,737878
"115","Feb-20",1237255,45124,687312
"116","Mar-20",1013021,32747,486033
"117","Apr-20",689720,19726,207129
"118","May-20",924218,26479,311140
"119","Jun-20",1016132,30894,363576
"120","Jul-20",1120421,32759,435106
"121","Aug-20",1179019,32231,507753
"122","Sep-20",1163948,33295,496637
"123","Oct-20",1111958,33012,454377
"124","Nov-20",1036350,31872,416954
"125","Dec-20",1039474,29838,405362
"126","Jan-21",941194,25744,343868
"127","Feb-21",903771,27972,346348
"128","Mar-21",1161079,35656,494547
"129","Apr-21",1259266,35363,571603
"130","May-21",1396116,38747,640679
"131","Jun-21",1436111,39162,681859
"132","Jul-21",1430733,39313,690082
"133","Aug-21",1341757,39864,654346
"134","Sep-21",1392405,40503,694296
"135","Oct-21",1419010,39701,706091
"136","Nov-21",1336830,39025,662100
"137","Dec-21",1250568,34913,589161
"138","Jan-22",1247417,36557,591228
"139","Feb-22",1205820,37970,581573
"140","Mar-22",1421526,41910,711362
"141","Apr-22",1312380,37898,678518
"142","May-22",1437421,41874,753758
"143","Jun-22",1400664,40910,750117
"144","Jul-22",1397083,39632,744940
"145","Aug-22",1299083,40802,655794
"146","Sep-22",1301611,40188,666690
"147","Oct-22",1399185,41440,747403
"148","Nov-22",1395183,42644,740977
"149","Dec-22",1437681,36592,819806
"150","Jan-23",1243898,42076,682364
"151","Feb-23",1206386,41717,666176
"152","Mar-23",1372403,46803,746745
"153","Apr-23",1271145,42632,716211
"154","May-23",1400815,45826,794708
"155","Jun-23",1389009,46196,785749
"156","Jul-23",1379854,45513,769533
"157","Aug-23",1323647,43923,738580
"158","Sep-23",1369045,42631,754065
"159","Oct-23",1413560,44769,761289
"160","Nov-23",1385701,42365,734056
"161","Dec-23",1383876,39282,756074
"162","Jan-24",1397645,42835,784555
